,x_query,y_query,x_train,y_train,Distance
Matches8,36.586856842041016,425.7174072265625,30.525421142578125,419.6185607910156,137.0875701904297
Matches9,36.624454498291016,421.383544921875,30.86834716796875,415.62591552734375,139.52418518066406
Matches11,39.83029556274414,428.8432312011719,34.39069747924805,422.1839904785156,121.18993377685547
Matches12,39.9660758972168,421.33880615234375,34.57606887817383,415.987548828125,127.31456756591797
Matches18,53.039188385009766,407.9210205078125,50.06950378417969,405.00885009765625,133.09019470214844
Matches23,59.34348678588867,166.45359802246094,53.92414855957031,161.0922393798828,38.78144073486328
Matches24,59.77189254760742,373.7555847167969,57.09914016723633,374.3666687011719,163.05213928222656
Matches27,69.3926773071289,419.7118225097656,64.1048355102539,414.5267333984375,106.15083312988281
Matches29,72.0097885131836,387.193115234375,72.04549407958984,387.2763366699219,155.01290893554688
Matches31,76.3480224609375,419.32745361328125,70.45777130126953,413.886962890625,191.29296875
Matches32,76.82401275634766,426.68072509765625,70.19469451904297,420.03814697265625,131.8256378173828
Matches35,79.39277648925781,395.1525573730469,77.98716735839844,393.6246337890625,125.3355484008789
Matches41,82.66783142089844,378.9610595703125,84.1681900024414,380.9876403808594,162.0154266357422
Matches45,85.9767074584961,264.6957702636719,86.56167602539062,265.8300476074219,197.50442504882812
Matches46,86.11776733398438,402.4359130859375,83.54153442382812,399.83123779296875,82.72846984863281
Matches48,88.48632049560547,256.64300537109375,89.22351837158203,260.0748596191406,221.0723876953125
Matches50,89.13349914550781,394.5578308105469,88.07466888427734,393.4065246582031,183.03004455566406
Matches53,91.701904296875,372.9046325683594,93.83647155761719,375.0169372558594,252.6143341064453
Matches58,97.49378204345703,401.010009765625,95.02379608154297,398.4956970214844,165.94276428222656
Matches60,97.99913787841797,423.4918212890625,91.59489440917969,416.9989318847656,77.02597045898438
Matches61,100.70950317382812,401.7958679199219,98.06658172607422,399.07318115234375,250.29981994628906
Matches68,108.17638397216797,428.5569152832031,101.22303771972656,421.6178283691406,62.70566177368164
Matches69,108.17638397216797,428.5569152832031,101.22303771972656,421.6178283691406,55.45268249511719
Matches72,110.62513732910156,412.99334716796875,106.02185821533203,408.34405517578125,114.83030700683594
Matches76,119.75289154052734,426.1117248535156,113.1378173828125,419.2486267089844,89.92774963378906
Matches80,124.41229248046875,378.9933776855469,118.45054626464844,372.9273376464844,97.14422607421875
Matches83,126.40901184082031,353.3876953125,119.12565612792969,347.0150146484375,180.9364471435547
Matches84,127.22807312011719,347.7932434082031,120.12434387207031,343.52325439453125,234.60818481445312
Matches89,133.65003967285156,423.3623046875,126.62905883789062,416.56494140625,75.8419418334961
Matches90,134.66639709472656,357.3757019042969,138.85755920410156,351.2765808105469,185.27816772460938
Matches92,135.1140899658203,417.7483825683594,129.5663299560547,412.19635009765625,121.39604949951172
Matches93,135.1140899658203,417.7483825683594,129.5663299560547,412.19635009765625,57.22761535644531
Matches101,147.630615234375,353.46942138671875,146.31858825683594,349.17877197265625,262.8954162597656
Matches103,150.1137237548828,356.4581604003906,146.31858825683594,349.17877197265625,270.9575500488281
Matches125,176.9692840576172,424.52655029296875,169.955078125,417.4619445800781,60.16643524169922
Matches126,176.9692840576172,424.52655029296875,169.955078125,417.4619445800781,58.19793701171875
Matches147,204.3671417236328,287.4179382324219,210.8894500732422,285.07293701171875,144.2740478515625
Matches176,229.26370239257812,387.6131286621094,230.6053924560547,379.54913330078125,176.41429138183594
Matches182,239.85714721679688,324.45025634765625,235.62754821777344,321.1496887207031,154.03570556640625
Matches207,261.8106994628906,338.5230407714844,258.5186462402344,334.74774169921875,161.6013641357422
Matches262,299.6567687988281,276.9722900390625,304.078125,283.3016052246094,150.35292053222656
Matches276,310.4691467285156,312.9410400390625,308.1908264160156,310.5486145019531,178.5329132080078
Matches277,312.75921630859375,336.1195373535156,311.193603515625,334.415283203125,215.47621154785156
Matches281,313.4041748046875,317.0526428222656,311.4261169433594,314.4166564941406,150.7149658203125
Matches283,314.6681823730469,342.8121337890625,317.2257995605469,350.3749084472656,36.932369232177734
Matches284,314.7710876464844,332.5063171386719,312.6327819824219,330.3767395019531,161.04656982421875
Matches288,317.6293640136719,327.2715759277344,315.3154602050781,324.9779357910156,109.31148529052734
Matches290,318.8670349121094,319.7848815917969,316.53448486328125,317.29730224609375,71.83313751220703
Matches291,318.8670349121094,319.7848815917969,316.53448486328125,317.29730224609375,66.8879623413086
Matches294,320.0101318359375,325.67755126953125,317.57330322265625,323.164794921875,61.652252197265625
Matches297,321.8373107910156,336.7947082519531,319.7615661621094,334.76983642578125,41.24318313598633
Matches301,322.8075256347656,342.7021179199219,320.7168884277344,340.6884460449219,33.58571243286133
Matches304,324.22210693359375,328.9372863769531,321.634765625,326.45233154296875,69.51258850097656
Matches305,325.05108642578125,332.5426330566406,322.65875244140625,330.13580322265625,59.3885498046875
Matches307,325.084228515625,318.00872802734375,322.15789794921875,315.13580322265625,60.04165267944336
Matches309,325.9080505371094,345.8995666503906,323.8676452636719,343.9126281738281,23.173259735107422
Matches311,327.064453125,337.9824523925781,324.9336853027344,335.7448425292969,72.69112396240234
Matches313,327.61138916015625,312.5368957519531,324.49420166015625,309.6980285644531,105.10946655273438
Matches316,331.19158935546875,347.26202392578125,329.18402099609375,345.1216125488281,58.36094665527344
Matches320,332.749755859375,335.1732177734375,330.143798828125,332.6383972167969,154.84185791015625
Matches324,342.5780029296875,323.1134338378906,339.96978759765625,320.0161437988281,203.1969451904297
Matches327,343.01873779296875,264.52008056640625,345.6021423339844,267.19415283203125,159.86244201660156
Matches334,346.8560791015625,260.1909484863281,349.1927185058594,262.61962890625,139.3556671142578
Matches341,350.8536071777344,260.6510925292969,353.181396484375,263.0162353515625,135.6871337890625
Matches357,357.7759704589844,265.2269592285156,360.01019287109375,267.4124450683594,67.73477935791016
Matches358,357.7759704589844,265.2269592285156,360.01019287109375,267.4124450683594,145.8526611328125
Matches359,357.8487854003906,268.60687255859375,359.88226318359375,270.9089660644531,196.0153045654297
Matches360,357.8487854003906,268.60687255859375,359.88226318359375,270.9089660644531,190.27874755859375
Matches361,360.3661193847656,246.62840270996094,362.1949157714844,248.1068572998047,179.5104522705078
Matches364,361.0504455566406,261.4142761230469,363.14569091796875,263.4403991699219,71.84706115722656
Matches367,365.6802062988281,257.4275817871094,367.9909362792969,259.7816467285156,132.8118896484375
Matches395,387.0051574707031,413.4924621582031,380.35211181640625,406.7405090332031,164.72401428222656
Matches398,393.02301025390625,403.37811279296875,387.8319091796875,398.58612060546875,189.7050323486328
Matches408,400.4304504394531,412.154296875,393.9210510253906,405.65399169921875,66.48307800292969
Matches420,408.31866455078125,401.1040344238281,403.2887268066406,396.5120544433594,111.42262268066406
Matches424,410.4421081542969,294.187255859375,413.4881591796875,295.8194885253906,171.6304168701172
Matches431,417.7713928222656,394.31561279296875,414.0702819824219,390.60467529296875,147.13259887695312
Matches433,418.09912109375,388.5333557128906,415.5835266113281,385.90911865234375,124.60738372802734
Matches436,421.06512451171875,362.35406494140625,422.7771301269531,364.38031005859375,200.56170654296875
Matches438,421.49627685546875,291.3290710449219,424.3567199707031,294.1729736328125,161.80235290527344
Matches443,425.4893493652344,371.8869934082031,425.5191650390625,372.20684814453125,73.93916320800781
Matches444,426.252685546875,334.0790100097656,431.27081298828125,339.71051025390625,96.23409271240234
Matches445,427.035888671875,387.052978515625,424.1768493652344,384.44281005859375,120.46160888671875
Matches446,427.035888671875,387.052978515625,424.1768493652344,384.44281005859375,121.55245971679688
Matches447,427.8309631347656,336.5388488769531,431.27081298828125,339.71051025390625,155.45738220214844
Matches449,430.927001953125,324.66754150390625,434.07672119140625,330.9681091308594,217.51551818847656
Matches452,433.2977600097656,390.32147216796875,430.22406005859375,387.2376708984375,77.30459594726562
Matches454,434.36773681640625,397.0685729980469,430.1166687011719,392.7994384765625,92.53107452392578
Matches461,440.0455322265625,374.3402404785156,439.8199768066406,373.8660583496094,84.3386001586914
Matches464,440.95648193359375,335.0000915527344,447.40545654296875,341.340087890625,40.45985794067383
Matches465,441.3188781738281,380.00115966796875,440.0342102050781,378.616943359375,44.204071044921875
Matches470,446.0127868652344,397.1724853515625,441.78802490234375,392.89697265625,118.91593933105469
Matches476,450.48956298828125,399.3161315917969,445.8970642089844,394.6620788574219,89.71064758300781
Matches477,450.48956298828125,399.3161315917969,445.8970642089844,394.6620788574219,97.6524429321289
Matches478,451.5550231933594,381.56182861328125,449.8230285644531,379.7749938964844,67.98529052734375
Matches479,451.9103698730469,388.44482421875,449.0386657714844,385.5626220703125,45.880279541015625
Matches480,451.9103698730469,388.44482421875,449.0386657714844,385.5626220703125,54.0462760925293
Matches482,456.05303955078125,337.00604248046875,461.99774169921875,342.7545166015625,176.39161682128906
Matches484,458.0675964355469,374.72039794921875,457.4701232910156,374.1187744140625,88.39683532714844
Matches485,460.2673645019531,330.8008117675781,466.8594055175781,337.4972229003906,107.11676025390625
Matches486,460.3115234375,335.4080810546875,466.3948669433594,341.5262756347656,103.52294158935547
Matches488,461.3846130371094,405.1296691894531,455.5206298828125,399.32958984375,135.35508728027344
Matches491,464.1778869628906,391.116455078125,460.6122131347656,387.62408447265625,75.50496673583984
Matches492,468.0608215332031,334.5647888183594,474.07171630859375,340.6123962402344,88.8875732421875
Matches493,470.05657958984375,332.3688659667969,476.2685546875,338.7696533203125,84.94115447998047
