,x_query,y_query,x_train,y_train,Distance
Matches0,344.0090637207031,202.2774200439453,389.4181823730469,219.7234649658203,217.44654846191406
Matches1,436.4218444824219,253.56045532226562,276.53155517578125,208.39955139160156,183.59738159179688
Matches2,439.25128173828125,255.4532470703125,276.53155517578125,208.39955139160156,181.7745819091797
Matches3,443.0488586425781,257.8355407714844,276.53155517578125,208.39955139160156,207.8268585205078
Matches4,450.12799072265625,221.229736328125,317.8735046386719,183.32046508789062,180.6543731689453
Matches5,450.12799072265625,221.229736328125,317.8735046386719,183.32046508789062,146.03082275390625
Matches6,452.93304443359375,128.93687438964844,8.941566467285156,146.9496307373047,86.50433349609375
Matches7,470.4493103027344,214.28269958496094,317.8735046386719,183.32046508789062,225.8893585205078
Matches8,478.82379150390625,165.37937927246094,273.612548828125,176.8659210205078,198.84918212890625
Matches9,580.317138671875,56.89517593383789,204.97276306152344,49.6951904296875,183.4202880859375
