,x_query,y_query,x_train,y_train,Distance
Matches0,2.789600133895874,338.350830078125,4.602933406829834,419.85107421875,38.7685432434082
Matches1,2.789600133895874,338.350830078125,4.602933406829834,419.85107421875,43.416587829589844
Matches2,11.194437980651855,193.11293029785156,140.36375427246094,137.28506469726562,24.73863410949707
Matches3,173.86248779296875,117.4056167602539,409.7159118652344,103.92925262451172,138.70472717285156
Matches4,190.10877990722656,145.0830535888672,255.8089599609375,116.19229125976562,181.1905059814453
Matches5,198.58973693847656,143.77760314941406,262.5164489746094,115.22431945800781,224.51280212402344
Matches6,249.38829040527344,197.7961883544922,233.4340057373047,312.02447509765625,185.8682403564453
Matches7,273.67041015625,194.5458221435547,360.93096923828125,299.6289978027344,132.54055786132812
Matches8,288.0516357421875,30.168197631835938,261.49249267578125,19.535249710083008,133.12400817871094
Matches9,288.54815673828125,30.364032745361328,261.49249267578125,19.535249710083008,123.59207153320312
Matches10,292.9396057128906,29.67131805419922,420.547607421875,311.92010498046875,102.48902130126953
Matches11,308.9019470214844,353.98870849609375,445.433837890625,256.2887878417969,149.67965698242188
Matches12,329.2617492675781,134.59483337402344,402.4453125,102.98284912109375,85.61541748046875
Matches13,332.8371887207031,171.74905395507812,383.3017883300781,133.30335998535156,199.130615234375
Matches14,336.4804992675781,160.55194091796875,390.9927062988281,122.00820922851562,181.9010772705078
Matches15,342.38189697265625,154.4140625,397.4261779785156,115.8766860961914,160.21859741210938
Matches16,348.87518310546875,165.46224975585938,403.02508544921875,124.9595718383789,243.4625244140625
Matches17,348.87518310546875,165.46224975585938,403.02508544921875,124.9595718383789,192.09632873535156
Matches18,349.70611572265625,160.22227478027344,404.0307312011719,120.66725158691406,147.94593811035156
Matches19,349.70611572265625,160.22227478027344,404.0307312011719,120.66725158691406,163.2513427734375
Matches20,353.99609375,164.84686279296875,407.95672607421875,124.22430419921875,176.63238525390625
