,x_query,y_query,x_train,y_train,Distance
Matches3,6.18196439743042,433.95843505859375,12.556042671203613,440.3305358886719,55.1815185546875
Matches7,9.640631675720215,59.19024658203125,16.00107765197754,65.50347900390625,50.19960021972656
Matches14,13.624847412109375,61.366973876953125,20.124113082885742,67.91766357421875,49.27473831176758
Matches16,15.18281078338623,56.88772201538086,21.601123809814453,63.38682174682617,36.551334381103516
Matches20,18.02008056640625,55.404884338378906,24.248245239257812,61.88422775268555,65.84071350097656
Matches21,19.219697952270508,62.673126220703125,25.89048194885254,69.26758575439453,82.74055480957031
Matches22,19.219697952270508,62.673126220703125,25.89048194885254,69.26758575439453,103.90380096435547
Matches33,30.142122268676758,457.0567321777344,36.546058654785156,463.4460754394531,58.41232681274414
Matches37,32.85344314575195,29.906312942504883,39.01939010620117,36.08817672729492,66.20423126220703
Matches42,34.84477233886719,466.4752502441406,41.14452362060547,472.75408935546875,66.51315307617188
Matches48,40.147037506103516,31.310203552246094,46.528968811035156,37.71074676513672,107.44300842285156
Matches55,44.352195739746094,462.2993469238281,50.94077682495117,468.9127502441406,41.6533317565918
Matches60,47.56156539916992,20.120344161987305,53.85424041748047,26.430564880371094,79.05061340332031
Matches84,66.54721069335938,176.5157928466797,64.95225524902344,174.83248901367188,242.75502014160156
Matches93,71.07699584960938,170.53822326660156,69.12855529785156,168.5354461669922,108.17578125
Matches103,77.54096984863281,179.3465118408203,75.41441345214844,177.1653594970703,114.74319458007812
Matches106,80.41844940185547,185.57546997070312,78.47066497802734,183.85256958007812,182.36502075195312
Matches107,81.86754608154297,193.85308837890625,79.63465881347656,191.66336059570312,173.94252014160156
Matches108,81.86754608154297,193.85308837890625,79.63465881347656,191.66336059570312,172.69625854492188
Matches109,82.29196166992188,202.5419921875,80.12916564941406,200.15689086914062,190.37857055664062
Matches110,82.49375915527344,9.335555076599121,89.44857788085938,16.326799392700195,39.268306732177734
Matches117,87.1573257446289,160.96263122558594,84.49616241455078,159.29820251464844,187.21644592285156
Matches118,87.42393493652344,493.8982849121094,94.33316040039062,500.7868957519531,117.28597259521484
Matches124,90.9151611328125,200.8265838623047,88.3983383178711,198.31063842773438,28.54820442199707
Matches129,95.07441711425781,202.6489715576172,92.45832061767578,200.0620574951172,35.860843658447266
Matches132,98.25922393798828,202.99484252929688,95.5931396484375,200.20623779296875,131.2288055419922
Matches133,98.5678939819336,168.83067321777344,97.10104370117188,170.69717407226562,115.6157455444336
Matches136,105.16252136230469,223.4947967529297,102.36134338378906,220.65382385253906,82.43785858154297
Matches138,106.37205505371094,220.93637084960938,103.49565124511719,218.03321838378906,54.43344497680664
Matches139,106.37205505371094,220.93637084960938,103.49565124511719,218.03321838378906,30.0
Matches142,106.76417541503906,247.0364227294922,104.04183959960938,243.9758758544922,189.20623779296875
Matches143,107.15412139892578,228.6366424560547,104.29838562011719,225.7147979736328,78.58116912841797
Matches149,118.48494720458984,252.88845825195312,115.22269439697266,249.81185913085938,38.36665344238281
Matches151,119.58406066894531,189.33851623535156,116.39727020263672,186.15147399902344,59.17770004272461
Matches152,119.7280044555664,183.63458251953125,116.49887084960938,180.39901733398438,145.7772216796875
Matches153,120.30223846435547,225.4829864501953,117.05866241455078,222.21701049804688,48.89785385131836
Matches154,120.58800506591797,247.35458374023438,116.96701049804688,243.53643798828125,135.6355438232422
Matches155,122.63412475585938,259.9736022949219,119.81314849853516,257.1448059082031,148.3441925048828
Matches158,123.05718994140625,249.9656219482422,119.81751251220703,247.02850341796875,127.26350402832031
Matches159,123.13034057617188,250.35073852539062,119.81751251220703,247.02850341796875,50.89204406738281
Matches164,129.078857421875,248.0279998779297,125.58389282226562,244.63096618652344,42.32020950317383
Matches165,129.88031005859375,140.1687469482422,126.44873046875,136.741455078125,18.439088821411133
Matches166,130.07574462890625,500.3355407714844,137.0721893310547,507.32470703125,163.2850341796875
Matches167,131.42123413085938,69.71261596679688,130.2215118408203,68.36553192138672,137.81146240234375
Matches168,131.7085723876953,187.0737762451172,127.92680358886719,184.14353942871094,82.8070068359375
Matches169,131.9486541748047,186.82550048828125,127.92680358886719,184.14353942871094,110.35397338867188
Matches173,137.0330047607422,102.38924407958984,133.73080444335938,99.05518341064453,92.46080017089844
Matches175,143.44810485839844,172.1549072265625,139.54652404785156,168.4722442626953,104.00961303710938
Matches177,145.21446228027344,221.99217224121094,141.54827880859375,217.64340209960938,167.23934936523438
Matches178,147.24862670898438,51.60624694824219,146.1979522705078,51.55699157714844,117.26465606689453
Matches183,150.98838806152344,155.66256713867188,147.01890563964844,151.67198181152344,26.72077751159668
Matches188,155.0518798828125,152.85826110839844,150.94776916503906,148.7666473388672,69.63475799560547
Matches189,155.303466796875,106.01348876953125,151.2059326171875,101.90618133544922,34.928497314453125
Matches190,155.303466796875,106.01348876953125,151.2059326171875,101.90618133544922,34.97141647338867
Matches191,155.91909790039062,125.24098205566406,151.7806396484375,121.09986877441406,30.8544979095459
Matches192,157.10366821289062,161.37789916992188,152.97950744628906,157.1885528564453,35.72114181518555
Matches193,157.10366821289062,161.37789916992188,152.97950744628906,157.1885528564453,34.2928581237793
Matches194,157.86956787109375,210.5210418701172,153.5706024169922,206.84780883789062,89.41476440429688
Matches195,157.99562072753906,141.6773681640625,153.8414306640625,137.5042724609375,26.0
Matches196,158.2985076904297,131.3940887451172,154.08778381347656,127.17833709716797,43.416587829589844
Matches197,159.03916931152344,148.71263122558594,154.88107299804688,144.4243927001953,74.45803833007812
Matches199,160.0745086669922,155.64254760742188,155.91615295410156,151.3956756591797,64.34283447265625
Matches201,160.24310302734375,110.76163482666016,155.94895935058594,106.51850891113281,66.15889739990234
Matches202,160.85641479492188,138.424560546875,156.63824462890625,134.29408264160156,96.7884292602539
Matches203,161.3714599609375,89.6824722290039,154.83251953125,86.76603698730469,87.25823974609375
Matches210,163.93820190429688,150.27786254882812,159.5646209716797,145.9702606201172,38.22303009033203
Matches213,164.42184448242188,108.80477905273438,160.0843963623047,104.49584197998047,74.69939422607422
Matches218,171.94775390625,115.19076538085938,167.61566162109375,110.75424194335938,48.69291687011719
Matches221,172.9905242919922,110.09028625488281,168.74795532226562,105.72191619873047,59.11006546020508
Matches233,181.96035766601562,101.48241424560547,178.30079650878906,97.8012924194336,49.386234283447266
Matches236,187.01318359375,223.15557861328125,182.07701110839844,218.3029022216797,23.55843734741211
Matches240,192.9546661376953,178.2538299560547,187.92669677734375,173.26719665527344,10.0
Matches241,194.68650817871094,140.2185821533203,189.78384399414062,135.37127685546875,65.29930877685547
Matches242,195.18829345703125,143.9366455078125,190.20730590820312,138.8657989501953,18.947296142578125
Matches243,195.33055114746094,189.6292266845703,190.34756469726562,184.6442413330078,15.905973434448242
Matches244,196.35670471191406,186.71292114257812,191.4469451904297,181.80165100097656,75.18643188476562
Matches245,197.13829040527344,183.59542846679688,192.15069580078125,178.59835815429688,10.24695110321045
Matches247,197.5573272705078,115.81900024414062,192.67654418945312,110.90274047851562,112.35657501220703
Matches249,199.89544677734375,141.46957397460938,195.02755737304688,136.57928466796875,27.09243392944336
Matches250,199.98692321777344,120.97367095947266,195.13954162597656,116.04839324951172,64.51356506347656
Matches251,200.0214385986328,173.6976318359375,194.61155700683594,168.19898986816406,31.256999969482422
Matches252,200.32571411132812,133.9503173828125,195.49635314941406,129.0703582763672,50.3189811706543
Matches253,201.34671020507812,117.17142486572266,196.56686401367188,112.42578125,82.30431365966797
Matches254,202.0797119140625,146.6591796875,197.29954528808594,141.87391662597656,24.166091918945312
Matches255,204.05563354492188,132.2959747314453,199.31265258789062,127.55497741699219,82.84322357177734
Matches257,205.0334014892578,164.45745849609375,200.39093017578125,159.83035278320312,12.206555366516113
Matches258,206.39111328125,116.98074340820312,201.82391357421875,112.31966400146484,75.73638153076172
Matches259,206.6082000732422,123.01789855957031,201.9904327392578,118.33247375488281,39.420806884765625
Matches260,206.6082000732422,123.01789855957031,201.9904327392578,118.33247375488281,63.82006072998047
Matches261,207.01283264160156,230.47438049316406,202.46644592285156,225.902099609375,34.0
Matches262,207.8768310546875,258.5789794921875,205.15957641601562,255.6533660888672,130.7669677734375
Matches263,207.8768310546875,258.5789794921875,205.15957641601562,255.6533660888672,62.07253646850586
Matches264,210.93994140625,143.48233032226562,206.3382568359375,138.8850860595703,69.77105712890625
Matches265,211.07420349121094,141.46127319335938,207.6937713623047,136.6227264404297,155.1354217529297
Matches266,211.08775329589844,190.13365173339844,206.8282470703125,185.66567993164062,43.16248321533203
Matches267,211.9363555908203,106.69271087646484,207.7672119140625,102.5328598022461,50.37856674194336
Matches268,211.9363555908203,106.69271087646484,207.7672119140625,102.5328598022461,46.07602310180664
Matches269,212.03009033203125,121.81505584716797,207.58480834960938,117.24456787109375,80.77127838134766
Matches270,212.19882202148438,255.87625122070312,206.6590576171875,253.6357879638672,64.68384552001953
Matches271,212.36141967773438,172.9163360595703,207.9382781982422,168.3913116455078,29.27456283569336
Matches273,212.4346466064453,164.392333984375,208.02589416503906,159.97369384765625,13.152946472167969
Matches274,212.58241271972656,174.83314514160156,208.0820770263672,170.3180389404297,62.449981689453125
Matches277,215.43475341796875,176.51605224609375,211.0557403564453,172.06175231933594,27.53179931640625
Matches278,215.8406219482422,152.93905639648438,211.34225463867188,148.48207092285156,53.823787689208984
Matches279,216.2694854736328,165.40611267089844,211.86404418945312,161.0452423095703,20.71231460571289
Matches280,216.38839721679688,133.1255340576172,212.10098266601562,128.7856903076172,78.08969116210938
Matches282,217.09742736816406,126.94818115234375,212.7683868408203,122.55479431152344,65.19202423095703
Matches284,219.63436889648438,164.83016967773438,215.04470825195312,160.48194885253906,104.65180206298828
Matches287,219.82794189453125,207.77334594726562,215.5033416748047,203.4420928955078,19.67231559753418
Matches288,220.40933227539062,134.4403839111328,216.1177520751953,130.0811767578125,45.661800384521484
Matches289,221.34918212890625,221.50831604003906,217.09097290039062,217.2434539794922,37.296112060546875
Matches292,223.19593811035156,182.85293579101562,218.73976135253906,178.5152130126953,113.57376098632812
Matches293,223.63455200195312,218.6973876953125,219.35968017578125,214.42709350585938,19.235383987426758
Matches294,223.63455200195312,218.6973876953125,219.35968017578125,214.42709350585938,23.72762107849121
Matches295,223.83009338378906,122.5926742553711,219.52638244628906,118.35527038574219,46.389652252197266
Matches296,224.8192901611328,141.81216430664062,220.63401794433594,137.62725830078125,38.56163787841797
Matches297,224.8577423095703,110.05278015136719,220.51840209960938,105.87811279296875,31.685958862304688
Matches298,225.05661010742188,118.79924011230469,220.9710235595703,114.53607940673828,58.93216323852539
Matches299,225.7248077392578,102.73261260986328,221.6110382080078,98.96124267578125,54.69003677368164
Matches300,225.8673095703125,190.7882537841797,221.61984252929688,186.5249481201172,51.4781494140625
Matches301,226.5576171875,222.02487182617188,222.4386749267578,217.90122985839844,27.513633728027344
Matches302,227.41751098632812,187.6776580810547,223.296875,183.53750610351562,13.784049034118652
Matches303,228.1584930419922,231.52413940429688,224.0606231689453,227.42002868652344,29.916549682617188
Matches304,229.9392852783203,228.49758911132812,225.84689331054688,224.34832763671875,34.058773040771484
Matches305,230.67750549316406,176.46449279785156,226.6367950439453,172.4413604736328,14.966629981994629
Matches306,230.95652770996094,231.22311401367188,226.854248046875,227.04701232910156,25.139610290527344
Matches307,231.00340270996094,282.04119873046875,229.67747497558594,280.7422790527344,57.34108352661133
Matches308,231.00340270996094,282.04119873046875,229.67747497558594,280.7422790527344,60.893348693847656
Matches310,231.8234100341797,125.16075897216797,227.11376953125,122.60761260986328,122.33560180664062
Matches311,233.02037048339844,194.06634521484375,228.99722290039062,190.0681610107422,15.231546401977539
Matches313,234.99124145507812,112.51895141601562,231.02743530273438,108.61054992675781,20.832666397094727
Matches314,235.0865020751953,159.57557678222656,231.17539978027344,155.69143676757812,19.339078903198242
Matches315,235.74639892578125,192.71884155273438,231.88906860351562,188.91961669921875,67.852783203125
Matches316,237.20870971679688,102.4676742553711,233.4505615234375,98.6916275024414,71.95832061767578
Matches318,239.1774444580078,202.7683563232422,235.359130859375,198.95567321777344,61.91930389404297
Matches319,239.86216735839844,184.3625030517578,236.06919860839844,180.53309631347656,23.51595115661621
Matches320,240.1979217529297,104.6122817993164,236.3610382080078,100.82798767089844,66.70832061767578
Matches321,240.50735473632812,215.95814514160156,236.54962158203125,212.10841369628906,38.470767974853516
Matches322,240.63619995117188,163.34779357910156,236.84669494628906,159.5308380126953,57.81868362426758
Matches323,240.72059631347656,264.8797607421875,238.41688537597656,262.5166320800781,122.79657745361328
Matches324,240.92852783203125,163.05679321289062,237.06515502929688,159.46507263183594,37.336307525634766
Matches325,241.77389526367188,157.59075927734375,238.00299072265625,153.85250854492188,22.934690475463867
Matches326,241.96385192871094,301.9007263183594,241.9294891357422,302.3109436035156,145.37881469726562
Matches327,242.194580078125,338.1317138671875,235.14529418945312,331.47418212890625,143.32479858398438
Matches328,242.74310302734375,189.12258911132812,238.9308319091797,185.3128204345703,26.851442337036133
Matches329,242.74310302734375,189.12258911132812,238.9308319091797,185.3128204345703,35.29872512817383
Matches330,243.1560821533203,62.08694839477539,243.03103637695312,61.4901008605957,81.70679473876953
Matches331,244.86856079101562,203.84323120117188,241.14984130859375,200.1427459716797,26.944387435913086
Matches335,246.51861572265625,197.3418731689453,242.73214721679688,193.5382537841797,93.46656799316406
Matches337,247.41610717773438,187.53245544433594,243.78469848632812,183.85894775390625,33.1662483215332
Matches338,247.41610717773438,187.53245544433594,243.78469848632812,183.85894775390625,34.4093017578125
Matches339,248.90060424804688,176.08937072753906,245.27316284179688,172.4308624267578,30.838287353515625
Matches340,248.90060424804688,176.08937072753906,245.27316284179688,172.4308624267578,52.22068405151367
Matches341,249.5445098876953,163.3878173828125,246.00746154785156,159.7720184326172,37.14834976196289
Matches342,249.5445098876953,163.3878173828125,246.00746154785156,159.7720184326172,35.11410140991211
Matches344,251.16380310058594,210.1260528564453,247.6527862548828,206.58248901367188,48.54894256591797
Matches345,252.76577758789062,167.8812255859375,249.21409606933594,164.35948181152344,35.67912673950195
Matches346,252.76577758789062,167.8812255859375,249.21409606933594,164.35948181152344,35.916568756103516
Matches347,254.51760864257812,189.90614318847656,251.05349731445312,186.42581176757812,18.81488800048828
Matches348,254.51760864257812,189.90614318847656,251.05349731445312,186.42581176757812,19.92485809326172
Matches349,255.61830139160156,310.23626708984375,255.76339721679688,306.21929931640625,149.27491760253906
Matches350,255.61830139160156,310.23626708984375,255.76339721679688,306.21929931640625,151.2051544189453
Matches351,256.27490234375,202.97389221191406,252.87144470214844,199.57151794433594,15.231546401977539
Matches352,263.3601989746094,93.86334991455078,260.2923583984375,90.65101623535156,50.23942565917969
Matches354,263.95135498046875,107.7145767211914,261.3778381347656,103.98857116699219,145.27215576171875
Matches355,265.5014343261719,233.72459411621094,262.2655944824219,230.627197265625,117.59677124023438
Matches356,267.6324462890625,211.74229431152344,264.54266357421875,208.64013671875,39.39543151855469
Matches357,270.27557373046875,171.6153564453125,267.21875,168.5751953125,37.202152252197266
Matches358,271.0050354003906,96.86481475830078,267.969970703125,93.79198455810547,94.6731185913086
Matches361,276.90020751953125,223.17947387695312,274.05596923828125,220.29270935058594,60.56401443481445
Matches362,278.6015625,183.8817596435547,275.6949462890625,181.03338623046875,50.27922058105469
Matches363,279.0277099609375,176.38230895996094,276.1994934082031,173.48812866210938,37.64305877685547
Matches367,282.2255554199219,156.1820831298828,279.4296569824219,153.43504333496094,49.78955841064453
Matches369,283.6381530761719,187.2489471435547,280.99530029296875,184.69125366210938,25.219039916992188
Matches370,285.15069580078125,179.9733428955078,282.4227600097656,177.31423950195312,31.968734741210938
Matches372,285.75445556640625,156.7272491455078,282.8899841308594,154.1424560546875,68.28616333007812
Matches373,287.0697021484375,177.37925720214844,284.4672546386719,174.81288146972656,63.79655075073242
Matches374,288.5087585449219,148.21327209472656,285.87286376953125,145.63450622558594,84.7643814086914
Matches375,289.11126708984375,168.81005859375,286.5283203125,166.27398681640625,24.24871063232422
Matches377,289.7940673828125,167.68133544921875,287.241455078125,165.07763671875,46.28174591064453
Matches379,292.0040588378906,207.26754760742188,289.44378662109375,204.65585327148438,71.49825286865234
Matches380,292.2391662597656,152.1865997314453,289.7723083496094,149.71624755859375,101.7005386352539
Matches382,293.3171081542969,190.1005096435547,290.8140869140625,187.5572509765625,23.323806762695312
Matches385,294.6593933105469,200.41310119628906,292.2203063964844,197.95498657226562,18.193405151367188
Matches386,296.68194580078125,194.16294860839844,294.4104309082031,192.1915283203125,156.275390625
Matches387,296.8171691894531,145.86912536621094,294.365234375,143.3465118408203,78.05126190185547
Matches388,297.1085510253906,207.86451721191406,294.6807861328125,205.48562622070312,122.33560180664062
Matches389,297.1085510253906,207.86451721191406,294.6807861328125,205.48562622070312,174.99429321289062
Matches391,297.4383239746094,156.46482849121094,295.0614929199219,154.04901123046875,31.400636672973633
Matches392,297.59503173828125,169.4171142578125,295.2355651855469,166.9593505859375,156.02883911132812
Matches393,297.72894287109375,203.48117065429688,295.33746337890625,201.03890991210938,89.69950103759766
Matches394,299.14398193359375,159.3536834716797,296.9073181152344,157.0896759033203,70.5265884399414
Matches395,299.14398193359375,159.3536834716797,296.9073181152344,157.0896759033203,50.19960021972656
Matches396,299.3575439453125,177.09274291992188,297.03192138671875,174.62742614746094,103.87492370605469
Matches397,300.3481750488281,206.05563354492188,298.0143127441406,203.77908325195312,193.06993103027344
Matches398,300.3481750488281,206.05563354492188,298.0143127441406,203.77908325195312,176.2157745361328
Matches399,301.1207275390625,192.74034118652344,298.8637390136719,190.3943328857422,94.98420715332031
Matches401,303.7242126464844,144.8199462890625,301.4397277832031,142.43743896484375,93.04837799072266
Matches402,304.44171142578125,157.72381591796875,302.2701110839844,155.5628204345703,35.63705825805664
Matches403,304.44171142578125,157.72381591796875,302.2701110839844,155.5628204345703,35.566837310791016
Matches404,304.44171142578125,157.72381591796875,302.2701110839844,155.5628204345703,40.47221374511719
Matches405,304.6216125488281,152.9257354736328,302.4313659667969,150.72457885742188,72.99314880371094
Matches406,305.09844970703125,190.760986328125,302.9825744628906,188.64004516601562,100.91580963134766
Matches407,306.370361328125,165.21261596679688,304.22015380859375,163.03097534179688,45.55216979980469
Matches408,308.1304931640625,159.9668426513672,306.0521545410156,157.85194396972656,48.46648406982422
Matches409,308.7075500488281,159.48626708984375,306.59619140625,157.33187866210938,47.57099914550781
Matches410,309.0497131347656,172.05718994140625,307.28411865234375,170.06439208984375,69.78538513183594
Matches412,309.9190368652344,172.4061737060547,307.9023742675781,170.34869384765625,33.13608169555664
Matches413,312.9326477050781,157.50741577148438,310.9184265136719,155.501953125,97.95917510986328
Matches414,314.12652587890625,171.3332061767578,312.15301513671875,169.31297302246094,22.24859619140625
Matches416,316.4927673339844,292.1400451660156,313.56024169921875,288.6024169921875,73.33484649658203
Matches461,373.919677734375,300.168212890625,371.0179138183594,297.6734924316406,183.0819549560547
Matches462,376.404296875,243.2919921875,373.5468444824219,240.5243377685547,210.37109375
Matches465,378.7860412597656,295.8187561035156,376.8582458496094,293.78704833984375,110.72488403320312
Matches466,378.7860412597656,295.8187561035156,376.8582458496094,293.78704833984375,107.44766235351562
Matches470,380.3417053222656,297.047119140625,377.4571838378906,294.13848876953125,110.77003479003906
Matches471,380.3738098144531,261.89556884765625,377.07183837890625,258.13641357421875,152.34500122070312
Matches475,383.2823791503906,252.26922607421875,379.8117370605469,248.75802612304688,37.709415435791016
Matches479,384.6026611328125,238.4989013671875,381.7216796875,235.44235229492188,69.62757873535156
Matches480,385.0679016113281,229.8357391357422,382.5352783203125,226.93753051757812,160.0999755859375
Matches482,385.9152526855469,245.8165283203125,382.48101806640625,242.41253662109375,122.06555938720703
Matches488,390.5824279785156,234.04669189453125,387.53619384765625,231.01251220703125,52.46903991699219
Matches491,391.7820129394531,253.60643005371094,388.10357666015625,249.87986755371094,58.12056350708008
Matches492,391.7820129394531,253.60643005371094,388.10357666015625,249.87986755371094,57.113922119140625
Matches493,391.93756103515625,273.48681640625,387.84796142578125,269.5294189453125,174.33013916015625
Matches494,392.6458740234375,229.5948486328125,389.949951171875,227.15379333496094,157.8733673095703
Matches498,395.0956115722656,291.2823181152344,392.0578918457031,287.8695068359375,97.83660125732422
Matches499,396.3150329589844,260.8697509765625,391.9653015136719,256.5941162109375,62.67375946044922
Matches501,397.4082946777344,272.0796813964844,392.9934997558594,267.7198486328125,42.59107971191406
Matches502,397.6632995605469,256.1676025390625,393.6370849609375,252.0226287841797,92.10320281982422
Matches505,398.9678039550781,238.79202270507812,395.5688171386719,235.20021057128906,105.81114959716797
Matches509,402.961181640625,266.4317626953125,398.41461181640625,261.8594055175781,31.843366622924805
Matches513,404.8746032714844,270.8773193359375,400.315185546875,266.3095703125,18.734994888305664
Matches519,407.8643493652344,266.6731262207031,403.4537048339844,262.1456298828125,16.278820037841797
Matches520,407.9135437011719,282.3348693847656,403.64715576171875,277.8869934082031,43.26661682128906
Matches523,407.941162109375,249.2743377685547,403.6318664550781,245.1082000732422,143.9722137451172
