,x_query,y_query,x_train,y_train,Distance
Matches0,107.37692260742188,104.24077606201172,147.45443725585938,81.15274810791016,126.479248046875
Matches1,114.51517486572266,116.65756225585938,211.49652099609375,90.32749938964844,51.22499465942383
Matches2,158.22821044921875,112.0439453125,169.1165008544922,99.15473175048828,39.81205749511719
Matches3,161.83724975585938,351.1822509765625,140.08340454101562,341.2694396972656,249.9019775390625
Matches4,209.392822265625,242.07395935058594,193.60125732421875,251.73385620117188,136.61990356445312
Matches5,210.7554168701172,112.59404754638672,213.34750366210938,120.24967193603516,86.59676361083984
Matches6,215.50311279296875,231.17283630371094,206.44981384277344,247.09117126464844,161.21414184570312
Matches7,225.50433349609375,325.5122375488281,203.92007446289062,352.7049255371094,176.79367065429688
Matches8,225.68714904785156,340.1492614746094,195.20521545410156,364.9877624511719,150.52574157714844
Matches9,233.005615234375,239.96875,215.24940490722656,261.5816650390625,38.845848083496094
Matches10,243.1347198486328,242.21812438964844,223.13912963867188,267.9874572753906,83.3066635131836
Matches11,262.80816650390625,241.62974548339844,241.31748962402344,277.4380798339844,129.47586059570312
Matches12,268.1883544921875,79.49900817871094,211.49652099609375,90.32749938964844,51.12729263305664
Matches13,286.8141784667969,344.946044921875,249.7456512451172,409.0689392089844,101.0346450805664
Matches14,287.2058410644531,226.67677307128906,311.4097595214844,127.42623138427734,74.81978607177734
Matches15,291.3433532714844,81.37381744384766,311.4097595214844,127.42623138427734,47.46577835083008
Matches16,297.0199279785156,221.1376953125,271.5199890136719,274.1942138671875,103.42630004882812
Matches17,309.8436584472656,236.80087280273438,287.77587890625,298.5228271484375,123.83052825927734
Matches18,323.5665588378906,162.63589477539062,326.60980224609375,230.21044921875,273.5123291015625
Matches19,331.0214538574219,250.52304077148438,306.0469055175781,326.4118347167969,147.7700958251953
