,x_query,y_query,x_train,y_train,Distance
Matches0,132.09649658203125,275.84912109375,126.37788391113281,270.41766357421875,155.81077575683594
Matches2,152.9103546142578,267.4849548339844,148.00685119628906,262.8749084472656,181.87632751464844
Matches3,152.9103546142578,267.4849548339844,148.00685119628906,262.8749084472656,217.9931182861328
Matches7,177.17189025878906,478.7811279296875,172.13153076171875,473.29620361328125,206.6470489501953
Matches21,202.08370971679688,273.6114807128906,196.49310302734375,267.6141662597656,102.81050872802734
Matches40,246.3509063720703,324.0346374511719,240.2875213623047,317.9118957519531,171.5808868408203
Matches41,246.3509063720703,324.0346374511719,240.2875213623047,317.9118957519531,113.3490219116211
Matches42,249.13088989257812,280.6814880371094,242.9458770751953,274.4637451171875,166.98204040527344
Matches50,262.3830261230469,269.74530029296875,258.0259704589844,264.15924072265625,107.77754974365234
Matches60,281.7550048828125,228.39682006835938,277.24005126953125,224.71334838867188,137.42269897460938
Matches72,295.8353576660156,447.6553039550781,298.94012451171875,438.2462463378906,231.8792724609375
Matches74,299.15325927734375,233.44589233398438,299.50250244140625,234.1503143310547,115.6157455444336
Matches75,299.8918762207031,234.10067749023438,299.50250244140625,234.1503143310547,124.07659149169922
Matches86,310.5200500488281,403.8011169433594,303.53515625,396.6871337890625,161.4713592529297
Matches88,311.5229187011719,412.030517578125,304.693359375,404.9889221191406,173.98851013183594
Matches94,319.132568359375,357.0497131347656,313.0682678222656,350.13861083984375,110.0
