,x_query,y_query,x_train,y_train,Distance
Matches0,252.93856811523438,216.30763244628906,323.7801208496094,209.868896484375,183.82872009277344
Matches1,309.6712646484375,471.7181701660156,174.18905639648438,459.6495666503906,29.154760360717773
Matches2,325.57965087890625,501.85150146484375,217.51316833496094,520.9887084960938,44.9777717590332
Matches3,328.9981689453125,111.37493896484375,455.6769104003906,147.56675720214844,95.82797241210938
Matches4,338.01751708984375,350.39520263671875,183.7899169921875,52.559452056884766,129.55308532714844
Matches5,340.1503601074219,354.2621154785156,185.8232421875,56.07281494140625,94.7100830078125
Matches6,359.0976867675781,189.0255889892578,199.16299438476562,228.95579528808594,107.9861068725586
Matches7,398.5115051269531,449.4150695800781,455.6769104003906,147.56675720214844,94.3822021484375
Matches8,405.4483947753906,215.651123046875,455.6769104003906,147.56675720214844,73.68852996826172
Matches9,427.1483459472656,175.40560913085938,267.4450988769531,264.1255187988281,183.0245819091797
Matches10,432.69366455078125,176.47555541992188,273.4846496582031,269.71160888671875,192.85227966308594
Matches11,444.71942138671875,169.54074096679688,292.4450378417969,272.9060363769531,188.0930633544922
