,x_query,y_query,x_train,y_train,Distance
Matches0,32.772003173828125,289.4512939453125,29.71077537536621,287.1602478027344,104.02403259277344
Matches1,34.02701187133789,328.89825439453125,32.405025482177734,325.2257385253906,106.08486938476562
Matches2,34.02701187133789,328.89825439453125,32.405025482177734,325.2257385253906,128.58071899414062
Matches3,45.746726989746094,318.8907470703125,43.363624572753906,316.595947265625,50.29910659790039
Matches4,54.311763763427734,281.7738952636719,50.495975494384766,278.2668151855469,185.2673797607422
Matches5,80.76197052001953,333.9556579589844,76.5832748413086,330.467529296875,85.29946899414062
Matches6,81.95579528808594,315.3621520996094,78.34297943115234,311.2511291503906,61.42475128173828
Matches7,92.68545532226562,327.0,88.55611419677734,323.05157470703125,20.14944076538086
Matches8,103.74024963378906,266.9591369628906,102.70377349853516,265.10675048828125,116.50750732421875
Matches9,113.95913696289062,336.21942138671875,109.84425354003906,332.1134033203125,17.492855072021484
Matches10,113.95913696289062,336.21942138671875,109.84425354003906,332.1134033203125,56.97367858886719
Matches11,115.14322662353516,240.34225463867188,115.24398803710938,238.56939697265625,88.70738220214844
Matches12,115.14322662353516,240.34225463867188,115.24398803710938,238.56939697265625,91.89124298095703
Matches14,124.76529693603516,248.29086303710938,122.9055404663086,246.4157257080078,71.89575958251953
Matches15,130.2582244873047,350.82318115234375,126.52726745605469,347.06494140625,91.14823150634766
Matches16,131.4487762451172,244.7174072265625,129.07301330566406,243.1776885986328,206.2789306640625
Matches17,134.43511962890625,291.9472961425781,130.25625610351562,287.6914367675781,40.29888153076172
Matches18,139.05767822265625,269.6836242675781,135.66473388671875,265.18072509765625,99.60421752929688
Matches19,139.07980346679688,234.54019165039062,135.76622009277344,231.20126342773438,104.12973022460938
Matches20,144.56509399414062,247.2664794921875,140.34039306640625,243.17657470703125,98.61034393310547
Matches21,146.5196990966797,210.47471618652344,142.85174560546875,206.99900817871094,80.4673843383789
Matches22,146.7173309326172,271.46893310546875,142.24928283691406,267.0072021484375,97.21625518798828
Matches23,149.1926727294922,322.2068176269531,144.1848907470703,317.1795349121094,16.852298736572266
Matches24,150.5013427734375,237.36854553222656,146.06944274902344,233.94166564941406,92.13034057617188
Matches25,156.03724670410156,200.06735229492188,153.1221160888672,197.3282470703125,104.35516357421875
Matches26,157.275390625,231.9217987060547,151.6262664794922,226.79835510253906,75.7165756225586
Matches27,157.50979614257812,271.6786193847656,152.697998046875,268.3233337402344,72.44998168945312
Matches28,161.08975219726562,292.31884765625,155.14051818847656,286.35150146484375,108.60939025878906
Matches29,163.0936279296875,280.8403625488281,156.82447814941406,274.9543762207031,110.46266174316406
Matches30,163.83990478515625,272.87164306640625,157.42428588867188,267.1129455566406,85.72047424316406
Matches31,165.11741638183594,190.56089782714844,162.92733764648438,189.0756378173828,134.5511016845703
Matches32,165.95187377929688,292.0212097167969,160.02174377441406,286.00848388671875,61.20457458496094
Matches33,170.0184783935547,195.4722900390625,167.92156982421875,193.3296356201172,84.16650390625
Matches34,172.7713623046875,204.05455017089844,170.61273193359375,201.03848266601562,84.92349243164062
Matches35,172.87570190429688,271.0368347167969,166.2913818359375,264.4296875,96.95875549316406
Matches36,177.3029327392578,299.70599365234375,172.67385864257812,293.67034912109375,117.58826446533203
Matches37,179.868896484375,176.14271545410156,176.9665985107422,174.48504638671875,136.28646850585938
Matches38,179.868896484375,176.14271545410156,176.9665985107422,174.48504638671875,133.1690673828125
Matches39,182.59326171875,213.19363403320312,179.4877471923828,210.19822692871094,59.02541732788086
Matches40,182.6111297607422,191.39974975585938,179.44480895996094,188.0705108642578,105.4845962524414
Matches41,182.72337341308594,185.47991943359375,179.2122039794922,182.74789428710938,108.63700866699219
Matches42,183.1249237060547,389.9615173339844,179.28060913085938,386.150146484375,54.881690979003906
Matches43,186.6072235107422,332.1026611328125,179.88580322265625,325.4389343261719,85.84870147705078
Matches44,188.3426971435547,189.1190185546875,184.69956970214844,185.46359252929688,122.80472564697266
Matches45,188.49534606933594,444.6125793457031,184.6992950439453,440.7780456542969,8.124038696289062
Matches46,199.2450408935547,216.18582153320312,196.0618438720703,212.59619140625,59.160797119140625
Matches47,203.6912078857422,297.57489013671875,198.65655517578125,293.14093017578125,74.26304626464844
Matches48,203.6912078857422,297.57489013671875,198.65655517578125,293.14093017578125,43.71498489379883
Matches49,211.34634399414062,154.1177520751953,206.14984130859375,148.74066162109375,95.61903381347656
Matches50,212.7135467529297,240.29734802246094,210.31338500976562,236.55966186523438,143.26898193359375
Matches51,216.0460968017578,448.6970520019531,211.70394897460938,444.3763427734375,19.621416091918945
Matches52,216.7339324951172,135.74244689941406,210.3640899658203,130.775390625,90.90654754638672
Matches53,227.00143432617188,459.57354736328125,223.1491241455078,455.8052673339844,36.055511474609375
Matches54,228.13352966308594,387.56689453125,222.04718017578125,381.65643310546875,43.680660247802734
Matches55,230.45220947265625,266.2822570800781,226.2825927734375,261.70758056640625,30.951574325561523
Matches56,239.7239532470703,83.22246551513672,233.44070434570312,76.93780517578125,94.89994812011719
Matches57,244.97584533691406,376.6321105957031,241.2554168701172,372.4815368652344,66.3551025390625
Matches58,244.97584533691406,376.6321105957031,241.2554168701172,372.4815368652344,68.74591064453125
Matches59,246.0852508544922,312.0735778808594,241.9568634033203,307.8790283203125,29.068883895874023
Matches61,251.968994140625,282.10040283203125,247.556640625,278.0038757324219,37.269290924072266
Matches62,255.2991485595703,431.3861999511719,250.5666961669922,426.8857727050781,61.652252197265625
Matches63,261.3255615234375,413.8190002441406,256.3897399902344,408.95550537109375,81.25884246826172
Matches66,270.1856689453125,219.04405212402344,263.9127502441406,212.29087829589844,125.74974822998047
Matches67,270.1856689453125,219.04405212402344,263.9127502441406,212.29087829589844,143.3178253173828
Matches68,274.50238037109375,337.5854187011719,269.97918701171875,332.86260986328125,49.68903350830078
