,x_query,y_query,x_train,y_train,Distance
Matches8,36.58687973022461,425.7173767089844,30.52538299560547,419.6185607910156,137.2151641845703
Matches9,36.624454498291016,421.383544921875,30.868343353271484,415.62591552734375,139.52418518066406
Matches11,39.83047866821289,428.8431396484375,34.390560150146484,422.1839904785156,121.18993377685547
Matches12,39.9660530090332,421.33880615234375,34.57606887817383,415.987548828125,127.31456756591797
Matches18,53.03917694091797,407.9210510253906,50.069488525390625,405.0088806152344,133.09019470214844
Matches23,59.34349060058594,166.45359802246094,53.92414474487305,161.0922393798828,38.78144073486328
Matches24,59.77190399169922,373.75555419921875,57.09877395629883,374.3671569824219,163.05213928222656
Matches27,69.39266967773438,419.7118225097656,64.1048355102539,414.5267333984375,106.15083312988281
Matches29,72.00981140136719,387.1931457519531,72.04542541503906,387.27630615234375,155.01290893554688
Matches31,76.3480224609375,419.32745361328125,70.45774841308594,413.8869934082031,191.29296875
Matches32,76.82402801513672,426.6807556152344,70.19474792480469,420.0381774902344,131.8256378173828
Matches35,79.39273834228516,395.1525573730469,77.9871597290039,393.6246337890625,125.3355484008789
Matches41,82.66778564453125,378.9610290527344,84.16817474365234,380.9876403808594,161.8641357421875
Matches45,85.97672271728516,264.6957702636719,86.56169891357422,265.8301086425781,196.91876220703125
Matches46,86.11776733398438,402.4359130859375,83.54151153564453,399.83123779296875,82.6619644165039
Matches48,88.48629760742188,256.6430358886719,89.22357940673828,260.0747985839844,221.12892150878906
Matches50,89.13343048095703,394.5577697753906,88.0747299194336,393.4065856933594,183.03004455566406
Matches53,91.70191192626953,372.9046325683594,93.83645629882812,375.01690673828125,252.37867736816406
Matches58,97.49376678466797,401.010009765625,95.0238037109375,398.4957275390625,165.94276428222656
Matches60,97.99901580810547,423.4917297363281,91.59489440917969,416.9989013671875,77.20103454589844
Matches61,100.70958709716797,401.7959289550781,98.06658935546875,399.0732421875,250.29981994628906
Matches68,108.17638397216797,428.5569152832031,101.22303771972656,421.6178283691406,62.70566177368164
Matches69,108.17638397216797,428.5569152832031,101.22303771972656,421.6178283691406,55.45268249511719
Matches72,110.62512969970703,412.99334716796875,106.0218734741211,408.34405517578125,114.83030700683594
Matches76,119.75288391113281,426.1117858886719,113.1376724243164,419.24853515625,89.92774963378906
Matches80,124.41228485107422,378.9933776855469,118.45055389404297,372.9273376464844,97.14422607421875
Matches83,126.4090805053711,353.3877258300781,119.12567138671875,347.0150146484375,180.9364471435547
Matches84,127.22785186767578,347.7933044433594,120.12431335449219,343.5232849121094,234.60818481445312
Matches89,133.64987182617188,423.36224365234375,126.62903594970703,416.5649108886719,75.8419418334961
