,x_query,y_query,x_train,y_train,Distance
Matches0,113.41161346435547,411.1548767089844,305.4181213378906,59.32670974731445,93.42376708984375
Matches1,116.4471206665039,418.5057678222656,305.4181213378906,59.32670974731445,110.63905334472656
Matches2,166.8175811767578,289.9165344238281,229.30313110351562,284.92022705078125,166.82626342773438
Matches3,168.5616455078125,440.04986572265625,152.5745391845703,459.8692626953125,160.93165588378906
Matches4,174.9872589111328,156.99313354492188,311.9141845703125,38.53908157348633,274.4266662597656
Matches5,179.3972625732422,393.92803955078125,179.36422729492188,407.57269287109375,237.22984313964844
Matches6,193.80519104003906,483.8580017089844,156.00784301757812,499.3940734863281,70.94364166259766
Matches7,205.3751220703125,453.5858154296875,152.5745391845703,459.8692626953125,187.64060974121094
Matches8,231.14410400390625,459.7427673339844,174.5269775390625,482.9838562011719,282.7825927734375
Matches9,245.919921875,391.8665771484375,226.5745086669922,435.0451354980469,250.92628479003906
Matches10,260.00982666015625,185.99044799804688,219.94114685058594,194.88926696777344,197.620849609375
Matches11,263.1181640625,417.1132507324219,244.87286376953125,471.0135803222656,258.4511413574219
Matches12,276.3515930175781,181.70584106445312,234.92709350585938,193.3190460205078,193.0543975830078
Matches13,276.3671875,173.16249084472656,232.3454132080078,183.73910522460938,180.43003845214844
Matches14,282.6952209472656,372.37860107421875,270.7939453125,432.54376220703125,139.3233642578125
Matches15,285.73516845703125,182.0689697265625,240.39820861816406,194.97715759277344,232.41127014160156
Matches16,287.7655944824219,198.56500244140625,245.02447509765625,213.3776397705078,186.69761657714844
Matches17,292.6684265136719,198.13783264160156,250.59744262695312,216.80868530273438,246.75291442871094
Matches18,293.1295166015625,200.96392822265625,251.25697326660156,219.91981506347656,196.73077392578125
Matches19,305.65350341796875,165.64402770996094,183.26254272460938,151.13514709472656,244.32969665527344
Matches20,307.4214172363281,177.8697967529297,262.6029052734375,198.17941284179688,181.80484008789062
