,x_query,y_query,x_train,y_train,Distance
Matches8,11.571906089782715,476.5325927734375,9.779997825622559,475.75787353515625,168.6327362060547
Matches23,25.773883819580078,25.471256256103516,32.670318603515625,32.50156021118164,133.5102996826172
Matches40,37.33061218261719,394.5267028808594,40.28103256225586,395.890380859375,58.03447341918945
Matches45,48.931121826171875,218.4690399169922,53.68943786621094,223.53924560546875,142.02816772460938
Matches47,56.63739776611328,404.9933166503906,54.009769439697266,402.2828063964844,225.8251495361328
Matches48,57.07620620727539,458.52197265625,59.32691955566406,460.8985900878906,163.1410369873047
Matches49,58.51268005371094,93.22834014892578,59.814029693603516,94.06195831298828,157.6800537109375
Matches51,62.64927673339844,173.54273986816406,66.96697998046875,176.9694366455078,181.92031860351562
Matches52,63.2432975769043,225.86781311035156,68.12088012695312,231.1608428955078,102.19099426269531
Matches53,64.8599624633789,216.3618927001953,70.90872955322266,222.25189208984375,128.74781799316406
Matches54,67.38731384277344,228.87782287597656,71.85923767089844,233.56980895996094,231.2985076904297
Matches55,68.88612365722656,160.20750427246094,72.0338134765625,163.64500427246094,70.07139587402344
Matches56,69.1646499633789,97.13488006591797,70.66239166259766,98.11824035644531,105.0333251953125
Matches57,69.73258972167969,174.6629180908203,72.58284759521484,177.65277099609375,150.30967712402344
Matches58,73.8687744140625,254.55455017089844,79.99708557128906,258.7283935546875,202.42776489257812
Matches61,76.4864730834961,249.9883270263672,81.46912384033203,255.85977172851562,240.28524780273438
Matches63,77.96263122558594,95.67417907714844,79.75060272216797,97.07320404052734,201.9331512451172
Matches67,81.33757781982422,126.67359161376953,82.38069152832031,129.46224975585938,78.25598907470703
Matches71,82.14717864990234,225.6947479248047,85.13556671142578,228.49911499023438,185.46697998046875
Matches72,83.41248321533203,217.37796020507812,87.74195098876953,219.29054260253906,147.23789978027344
Matches73,83.62644958496094,187.8780517578125,89.59745025634766,187.7185516357422,214.13546752929688
Matches74,84.41173553466797,207.9161376953125,89.09610748291016,213.0802001953125,241.48085021972656
Matches76,86.39450073242188,240.1721954345703,87.73332214355469,241.587646484375,166.07228088378906
Matches78,91.19702911376953,92.00975799560547,92.91015625,94.00977325439453,82.6619644165039
Matches80,91.54345703125,238.2275390625,92.70587921142578,239.51956176757812,194.229248046875
Matches81,92.35298156738281,249.82943725585938,93.71913146972656,251.4524383544922,185.3752899169922
Matches82,92.40763854980469,255.794921875,94.15304565429688,257.6523742675781,166.96705627441406
Matches83,94.05231475830078,88.89191436767578,97.3411636352539,90.7220458984375,158.5749053955078
Matches84,94.09656524658203,242.66867065429688,95.91500091552734,243.97705078125,167.22439575195312
Matches89,94.49566650390625,195.1752471923828,101.01560974121094,198.3626251220703,165.16355895996094
Matches90,94.70178985595703,215.00942993164062,97.37311553955078,218.86041259765625,232.51666259765625
Matches91,97.12943267822266,74.3734130859375,99.60527038574219,77.53919219970703,127.93357849121094
Matches94,97.59518432617188,94.47320556640625,99.00396728515625,96.57089233398438,91.06591033935547
Matches98,100.13323974609375,245.15066528320312,101.87928771972656,246.41831970214844,132.3895721435547
Matches109,105.32022094726562,259.6018981933594,107.45348358154297,260.8465881347656,132.71774291992188
Matches113,107.78657531738281,63.519168853759766,112.19902038574219,64.01250457763672,118.06354522705078
Matches114,107.86259460449219,249.5661163330078,109.95094299316406,250.9744110107422,45.80392837524414
Matches119,109.38813781738281,487.2065734863281,106.25616455078125,483.858154296875,111.3193588256836
Matches123,113.85334777832031,73.40957641601562,115.45597076416016,74.31583404541016,247.97579956054688
Matches127,118.69002532958984,199.54954528808594,124.64318084716797,205.64813232421875,216.1851043701172
Matches135,121.40414428710938,229.39727783203125,124.04425048828125,232.2955322265625,177.20892333984375
Matches136,121.40414428710938,229.39727783203125,124.04425048828125,232.2955322265625,203.302734375
Matches137,122.16651916503906,318.6481018066406,123.37957763671875,320.3831787109375,37.1348876953125
Matches146,135.43467712402344,101.80833435058594,137.07044982910156,102.88666534423828,164.35935974121094
Matches149,141.16116333007812,197.46353149414062,146.57278442382812,205.15638732910156,119.49476623535156
Matches152,145.91006469726562,469.9422607421875,146.2845916748047,470.0101013183594,76.8179702758789
Matches155,149.58697509765625,185.88560485839844,155.75442504882812,192.83055114746094,225.92698669433594
Matches159,151.98878479003906,99.5906982421875,152.56903076171875,99.88906860351562,165.27854919433594
Matches161,153.2569122314453,501.1658020019531,147.4302978515625,495.0799255371094,119.75808715820312
Matches170,161.43321228027344,96.52727508544922,162.01071166992188,96.9874496459961,93.90420532226562
Matches173,162.8738555908203,101.8138427734375,163.6908721923828,102.67713165283203,156.92355346679688
Matches174,164.82887268066406,209.0190887451172,170.21485900878906,214.31552124023438,81.77407836914062
Matches175,166.5013427734375,500.3397216796875,160.7042999267578,494.71527099609375,234.23065185546875
Matches179,170.96224975585938,99.66050720214844,171.86878967285156,100.05216979980469,196.62655639648438
Matches180,171.14608764648438,246.48097229003906,177.3328399658203,252.5618133544922,223.06277465820312
Matches186,179.2823944091797,205.75253295898438,184.84078979492188,211.2841796875,119.99166870117188
Matches188,179.57034301757812,241.8368682861328,185.55494689941406,247.6519317626953,96.4468765258789
Matches189,179.8813934326172,254.83450317382812,185.64825439453125,258.44512939453125,136.55401611328125
Matches191,180.06968688964844,234.0207061767578,185.91429138183594,240.0448760986328,68.9129867553711
