,x_query,y_query,x_train,y_train,Distance
Matches0,18.930551528930664,120.92754364013672,22.16057777404785,124.21375274658203,82.75868225097656
Matches1,18.930551528930664,120.92754364013672,22.16057777404785,124.21375274658203,85.8836441040039
Matches2,34.64572525024414,58.3443603515625,38.57692337036133,62.34169387817383,69.99285888671875
Matches5,71.76885223388672,262.50946044921875,70.01437377929688,261.2407531738281,183.15293884277344
Matches6,87.93396759033203,206.2982940673828,87.50434875488281,205.845458984375,29.614185333251953
Matches7,93.30108642578125,275.8241271972656,92.55675506591797,275.1007080078125,127.08658599853516
Matches8,116.06169128417969,297.2591552734375,115.6433334350586,296.60809326171875,92.23882293701172
Matches9,131.26243591308594,290.4908752441406,131.41908264160156,290.7717590332031,153.72052001953125
Matches10,131.26243591308594,290.4908752441406,131.41908264160156,290.7717590332031,130.49520874023438
Matches11,135.58334350585938,303.1490173339844,136.23516845703125,303.62896728515625,170.0117645263672
Matches12,138.09268188476562,296.5356750488281,138.22756958007812,296.7860107421875,129.93844604492188
Matches13,140.169677734375,337.8685302734375,142.13804626464844,341.2259216308594,148.216064453125
Matches14,140.72882080078125,356.6509704589844,140.41680908203125,359.27130126953125,161.545654296875
Matches15,140.72882080078125,356.6509704589844,140.41680908203125,359.27130126953125,119.10079956054688
Matches16,140.97445678710938,237.27467346191406,140.9052734375,237.373291015625,191.18577575683594
Matches17,148.62265014648438,319.7436218261719,148.86439514160156,327.1720886230469,188.9629669189453
Matches18,152.59263610839844,380.27471923828125,154.2890167236328,381.25018310546875,90.21086120605469
Matches19,169.70989990234375,162.8504638671875,174.65187072753906,167.80841064453125,198.9723663330078
Matches20,169.70989990234375,162.8504638671875,174.65187072753906,167.80841064453125,114.34596252441406
Matches21,183.6190185546875,384.76287841796875,188.2425079345703,389.1361083984375,94.98947143554688
Matches22,303.9102478027344,386.378173828125,309.83453369140625,392.67431640625,186.39743041992188
Matches25,394.1309814453125,359.0529479980469,400.5071716308594,365.3851318359375,64.28841400146484
Matches26,415.1396789550781,364.4563293457031,421.4947814941406,370.57305908203125,19.646883010864258
Matches27,415.1396789550781,364.4563293457031,421.4947814941406,370.57305908203125,17.804492950439453
Matches28,443.4525146484375,367.1764221191406,449.36279296875,373.046630859375,27.440845489501953
